2025-04-09 18:58:56,402 INFO    StreamThr :57337 [internal.py:wandb_internal():83] W&B internal server running at pid: 57337, started at: 2025-04-09 18:58:56.401207
2025-04-09 18:58:56,403 INFO    WriterThread:57337 [datastore.py:open_for_write():87] open: /Users/percival/Projects/Airbnb_Analysis/wandb/run-20250409_185856-8hcs7qek/run-8hcs7qek.wandb
2025-04-09 18:58:56,675 INFO    HandlerThread:57337 [system_monitor.py:start():187] Starting system monitor
2025-04-09 18:58:56,676 INFO    SystemMonitor:57337 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-09 18:58:56,676 INFO    SystemMonitor:57337 [interfaces.py:start():186] Started cpu monitoring
2025-04-09 18:58:56,676 INFO    HandlerThread:57337 [system_monitor.py:probe():207] Collecting system info
2025-04-09 18:58:56,677 INFO    SenderThread:57337 [dir_watcher.py:__init__():211] watching files in: /Users/percival/Projects/Airbnb_Analysis/wandb/run-20250409_185856-8hcs7qek/files
2025-04-09 18:58:56,677 INFO    SystemMonitor:57337 [interfaces.py:start():186] Started disk monitoring
2025-04-09 18:58:56,679 INFO    SenderThread:57337 [sender.py:_start_run_threads():1134] run started: 8hcs7qek with start time 1744239536.400586
2025-04-09 18:58:56,679 INFO    SystemMonitor:57337 [interfaces.py:start():186] Started memory monitoring
2025-04-09 18:58:56,684 INFO    SystemMonitor:57337 [interfaces.py:start():186] Started network monitoring
2025-04-09 18:58:56,726 INFO    HandlerThread:57337 [system_monitor.py:probe():217] Finished collecting system info
2025-04-09 18:58:56,726 INFO    HandlerThread:57337 [system_monitor.py:probe():220] Publishing system info
2025-04-09 18:58:57,628 INFO    HandlerThread:57337 [system_monitor.py:probe():222] Finished publishing system info
2025-04-09 18:58:57,631 INFO    SenderThread:57337 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-09 18:58:57,681 INFO    Thread-12 :57337 [dir_watcher.py:_on_file_created():272] file/dir created: /Users/percival/Projects/Airbnb_Analysis/wandb/run-20250409_185856-8hcs7qek/files/conda-environment.yaml
2025-04-09 18:58:57,681 INFO    Thread-12 :57337 [dir_watcher.py:_on_file_created():272] file/dir created: /Users/percival/Projects/Airbnb_Analysis/wandb/run-20250409_185856-8hcs7qek/files/wandb-metadata.json
2025-04-09 18:58:58,686 INFO    Thread-12 :57337 [dir_watcher.py:_on_file_created():272] file/dir created: /Users/percival/Projects/Airbnb_Analysis/wandb/run-20250409_185856-8hcs7qek/files/output.log
2025-04-09 18:58:58,687 INFO    Thread-12 :57337 [dir_watcher.py:_on_file_created():272] file/dir created: /Users/percival/Projects/Airbnb_Analysis/wandb/run-20250409_185856-8hcs7qek/files/requirements.txt
2025-04-09 18:59:00,693 INFO    Thread-12 :57337 [dir_watcher.py:_on_file_modified():289] file/dir modified: /Users/percival/Projects/Airbnb_Analysis/wandb/run-20250409_185856-8hcs7qek/files/output.log
